vjedr#	水桶
nakabjlo	意识:con-sci-ous
nakabjlcjo	潜意识 sub-conscious
%argon	行话
jnna	大容量的
jnn@st	容量
hokent	郊区
jxxjotoro	系统
kynna ixxjotoro	太阳系
aua$ar	大气,气氛
slojlar nj aua$ar	大气层
ankaq@le	令…迷恋,诱惑
ortoatjchta	东正教
kjelbjero	捐款
kjel%anatsja	创新
o	名字(土耳其语ad,来自古汉语“曰”)
ate	跳跃(atla-, 来自古汉语“越”)
tanimek	相识,认识(tanımak来自古汉语“知”)
var	财富,财产,源于古汉语“富”
kap	容器器皿,碗碟盘钵盆 来自古汉语"盒"
kapan	席子,草席,来自古汉语“蓋”
kabuk	壳(古汉语“蓋”)
djke	竖,立,插,栽种,种植,源于古汉语“植”
tjke	缝“古汉语 紩 ”
djkna	直的
djzgjne	制止,抑制,源于古汉语“絷”
elebele	胡说八道,喋喋不休,叽叽喳喳
pjencyane	谝传,闲聊
sotorjimj	外汇
katoljka	天主教 католика
yetsusla	海峡
zasusla	海湾
ake	领导,率领,统领 (吐火罗 )
kasuna	良好,优秀(吐火罗)
klju	名誉,名声(吐火罗)
kiljme	方向(吐火罗)
j@rk	崇敬 reverence(吐火罗)
nam	鞠躬,尊敬,致敬 (吐火罗)
jxxjoja	公社
varjn	地主
cjkasucjmono	雪莲
ljpa	椴树
suyeto	输水管道
sukjeto	排水管道
santvorjo	溶剂
kyep%ej	白白地,徒然
enjyztvorje	使拟人化
koda	亲家
Cjnja	中国
Tencja	天朝,天下,中国(的雅称)
Etau	江山,中国(的雅称)
han	饭,食物,可汗,汉族
delamjse	发现
tenanka	监视
yen	前,ön
yentore	面临
hjdanna	抽象的 hj(e)-dan-e
yensla	前提
aljumjnj	铝 алюминий
kamotsimaualj	商品流转 товарооборот
kirsuae	进口
kjetsuae	出口
kjetsua$@	出口商
kirsua$@	进口商
brimono	刮刀
asmanbrimono	摩天大楼 skyscraper небоскреб
sanqoje	安排,布置,处理
dokise	统一
trjdokis	三位一体
$kala	刻度,等级 (俄,德 шкала)
soto$kalaq@le	使…超额
djljnstvo	宗教界
kamotsi$@	商人,买卖人
torg	交易 торг
sat$@	买主
sat$@stvo	商界
dvormono	宫殿
dvor	庭院 двор
dvorjn	贵族
dvorjnstvo	贵族阶层
+jkanjxxjona	现代的,当代的
tsaj	菜
aqtsaj	白菜
bardak	杯子
huak	硅 (中古音)
-tagaje	动词的相互态后缀
Europa	欧洲
Asja	亚洲
%al@kja	共和国,民国,民主共和国
pokjzi+eno	机构,组织
pokjzi+eno nj dokis+ena kinjlar(PDK)	联合国
Pol$a	波兰
Vengrja	匈牙利 Венгрия
jxxjostvona	一样的,相同的,相等的
cjftjxxjona	对比的
cjftjxxjo	对比
arman	希望,梦想,幻想
ymjxxjo	同志
ymjxxjostvo	团体,组织,同志关系
anaekje	父母,双亲
Dokis+ena kinj nj Amjerjka	美利坚合众国
Amjerjka	美洲,美国
@kjeanja	大洋洲
Engtontasestja	南极洲
zal	大厅 зал
cjzal	地下室
sannou+e	(手机等电子产品)没电
ljetka	飞行器
%ol$@stvo	旅行 yolculuk
bavul	旅行箱 bavul
jene	演
tenjene	进化,天演
Cjnjstan	震旦,(古代西域各国对中国的称呼)
aetena	至高的,神圣的,圣洁的
fjljpje	骄傲
wekon	狡猾,阴险
feand	暴躁,焦躁
jazva	溃疡 язва
Sjbjr	西伯利亚 Сибирь
Sjbjrjazva	炭疽 сибирская язва
tjfa	伤寒 тифа
enluco	辐射,照射
kjelsusla	潮
luc	光线 луч
haeseue	分裂,分离,分解,解离
sjvo	交响乐
ytyk	熨斗 утюг⬅️үтүк
$aht	矿 шахта⬅️(德)der Schacht
agat	玛瑙 агат⬅️der Agat
nataso	骑士
ljgaki	哲学(严复:理学)
cyngaki	社会学(严复:群学)
yezaq	自白
+jt	其实
litmektep	小学
nakamektep	中学,初中
%oghar@mektep	高中
anavar	资本
bufoleo	中专
aljnge	漂浮,悬浮
hydro	金字塔
doglo	(精神)领袖,引领者
kloso	人偶,手办,(事物的)模型
vjnso	亡灵,亡魂,幽灵👻
lontado	轻音乐,流行音乐
bendo	(天主教)教皇,教宗
uno	运气,气运 うん
kov$	长柄锅
vjto	先锋,先行者
bahjla	鞋套
sjeld	鲱鱼
kouajnka	保险
zasjele	入住
sohja	妖精,精灵
kato	故乡,故里
kljnjka	附属医院
poljkljnjka	诊所
gospjtal	军医院
bjerdanka	零钱
pjtsa	披萨
islaka	痰
vaktsjna	疫苗
vaktsjnatsja	接种
sjertjfjkat	凭证
tamagomono	煎蛋🍳
jndjejka	火鸡肉
djveno	参考,参照物
luce	(自然)光照,晒
luco	(晒的)干,干物
mango	芒果
mangluco	芒果干
yzymluco	葡萄干
palje	点(火),烧,燎
tenpaljo	炎症
test	检测,测试
eje	疼
Grjekja	希腊
kurs	汇率
buasto	后面的(东西),后续
bazoq	之后
torcje	假装,伪装
sla%ane	(事件)发生,(问题)产生
%ana$@	新人,新手,新生
%utane	洗澡🛀
zanoue	给…充电
zanouka	插头
culok	(女)长丝袜чулок
lo$ka	勺
cajna lo$ka	茶匙 чайная ложка
sous	酱
palov	抓饭
lahman	拌面
hantenpaljna dorj	消炎药
ka$lja	咳嗽
pjero	羽毛
pjere	……发痒
jnkola	居民 拉丁语
agrjkola	农夫,农民 拉丁语
sjnhro-	前缀,表同步,同时 synchro-
sjnhronjst	同声传译
njobo	上颚
$aurma	卷饼
borx	红菜汤
talon	(排队时取票叫号的)票
bjljet	(车、剧院等)票
naro	银币
fero	铜币
taro	金币
kjnka	(泛指)钱 金貨(きんか)
kjnkahana	银行(金貨 きんか)+hana
sljvkj	奶皮子,鲜奶油,乳脂
lava$	(硬)薄饼
kapusta	卷心菜
almagala	嘎啦果
mandarjnka	桔子
ananas	菠萝
mejo	芽,苗
meje	显露出苗头,有开始的迹象,发芽,出苗
kazan	大锅
far$	馅儿
mjska	钵,盆 миска
hofjnbo	权威,专家
pjeroe	用羽毛挠…,使…发痒,挠痒痒
pjerowo	痒,瘙痒
brojler	肉鸡,肉用禽 бройлер
fjlje	里脊,去骨肉
puer	男孩 拉丁语
pole	充满,填充
djepartamjent	部门 департамент
jntonatsja	语气 интонация
pjerjebjn	搬家
na-	前缀,表积累
na@ne	出版,刊登
sanjtar	卫生员 санитар
dorogna	珍贵的 дорогой
dorogtsen@st	珍宝 драгоценность
paluba	甲板 палуба
raschjose	梳(头)
elek	筛子
hu$tak	口哨
olcha	樱桃
kajik	小舟
sabzi	胡萝卜
varaq	单子
horoz	公鸡
zirak	耳环
chumolj	蚂蚁
zejslae	赠送,赠予
sinav	考试 sınav
spjets-	前缀,表示“特别,特殊”
spjetsja	香料,调味料 специя
kor%	(做披萨的)薄饼
bjuzhet	预算
bjuzhet$@	公职人员
$pon	薄板,胶合板 шпон
jmpjchmjent	弹劾
